paper_id,primary_category,year,total_token_count,matched_token_count,coverage,mean_happiness
2604.22748,cs.AI,2026,230,175,0.7608695652173914,5.4604000000000035
2604.22736,cs.LO,2026,93,82,0.8817204301075269,5.24487804878049
2604.22722,cs.IR,2026,164,98,0.5975609756097561,5.326122448979595
2604.22693,cs.CL,2026,196,128,0.6530612244897959,5.489843750000003
2604.22679,cs.CY,2026,236,181,0.7669491525423728,5.332375690607738
2604.22662,cs.LG,2026,174,120,0.6896551724137931,5.341916666666669
2604.22601,cs.SE,2026,213,143,0.6713615023474179,5.513076923076927
2604.22597,cs.AI,2026,169,137,0.8106508875739645,5.58627737226278
2604.22577,cs.AI,2026,172,119,0.6918604651162791,5.353781512605047
2604.22565,cs.CL,2026,172,116,0.6744186046511628,5.38224137931035
2604.22562,cs.LG,2026,158,106,0.6708860759493671,5.593962264150948
2604.2256,cs.CV,2026,233,144,0.6180257510729614,5.469236111111116
2604.22558,cs.LG,2026,180,121,0.6722222222222223,5.538595041322317
2604.22551,cs.RO,2026,242,172,0.7107438016528925,5.490232558139538
2604.2255,cs.CR,2026,252,152,0.6031746031746031,5.354868421052634
2604.22542,cs.CL,2026,188,137,0.7287234042553191,5.53328467153285
2604.2254,cs.LG,2026,188,144,0.7659574468085106,5.421597222222225
2604.22534,cs.LG,2026,183,131,0.7158469945355191,5.497709923664123
2604.22498,cs.CV,2026,178,103,0.5786516853932584,5.581359223300973
2604.22455,cs.AI,2026,261,216,0.8275862068965517,5.325787037037041
2604.22452,cs.AI,2026,195,163,0.8358974358974359,5.463865030674848
2604.22446,cs.AI,2026,243,167,0.6872427983539094,5.418682634730544
2604.22438,cs.CR,2026,218,163,0.7477064220183486,5.470490797546014
2604.22436,cs.AI,2026,183,133,0.726775956284153,5.31368421052632
2604.22428,cs.AI,2026,163,112,0.6871165644171779,5.210982142857145
2604.22422,cs.DB,2026,241,191,0.7925311203319502,5.235968586387441
2604.22416,cs.LG,2026,238,174,0.7310924369747899,5.366494252873566
2604.22413,cs.LG,2026,171,125,0.7309941520467836,5.331120000000004
