word,frequency,happiness_average
cancer,8,1.54
war,1,1.8
cry,4,1.84
failed,4,1.84
sadness,1,1.88
diseases,4,1.88
earthquake,1,1.9
fail,37,1.96
disaster,3,1.96
criminal,1,1.98
tumors,2,1.98
depression,1,1.98
punishment,4,2.0
disease,38,2.0
rejection,9,2.02
injury,1,2.04
failure,21,2.06
fails,17,2.06
rejected,3,2.08
suffer,12,2.08
worst,1,2.1
pain,13,2.1
hurts,1,2.14
corruption,3,2.14
drowned,1,2.16
pollution,2,2.16
crime,1,2.2
suffering,2,2.22
fear,1,2.32
poor,7,2.32
frustration,4,2.34
hate,1,2.34
threat,3,2.36
sad,9,2.38
attack,13,2.42
negative,21,2.42
dangerous,3,2.44
attacks,11,2.46
losses,9,2.46
crisis,7,2.48
shot,3,2.5
attacked,1,2.52
useless,1,2.52
failing,10,2.52
destroy,1,2.52
tumor,11,2.53
hurricane,1,2.54
harm,4,2.54
loss,46,2.56
stroke,10,2.58
lying,1,2.58
blind,6,2.58
damage,4,2.58
error,71,2.6
lie,5,2.6
lies,9,2.62
violated,1,2.62
losing,1,2.62
curse,2,2.64
bad,2,2.64
penalties,1,2.66
loneliness,1,2.66
tensions,1,2.66
injuries,2,2.68
distress,1,2.7
fight,1,2.7
taxes,3,2.7
waste,2,2.7
worse,5,2.7
violation,2,2.74
lost,5,2.76
neglect,1,2.76
lose,1,2.76
fighting,1,2.76
unfortunately,2,2.76
trouble,1,2.78
fever,1,2.78
wasted,1,2.78
burden,7,2.82
discrimination,17,2.82
disabled,2,2.82
buried,2,2.84
neglected,2,2.84
penalty,2,2.84
weak,20,2.84
incorrect,5,2.84
infection,5,2.84
errors,25,2.86
violations,3,2.86
tax,17,2.86
stress,7,2.86
threats,3,2.88
collapse,28,2.9
fake,1,2.9
debt,1,2.9
impossible,5,2.9
mistakes,3,2.92
problems,54,2.92
breakdown,2,2.94
tension,5,2.94
nervous,1,2.94
weakness,1,2.94
conflicts,8,2.96
ignorance,1,2.98
missing,21,2.98
insecure,1,2.98
problem,109,2.98
argues,4,3.0
argue,20,3.0
broken,3,3.02
anxiety,2,3.03
arguments,5,3.04
greedy,3,3.04
complaints,1,3.04
bored,1,3.04
rat,1,3.04
rotting,5,3.04
emergency,1,3.06
inadequate,4,3.06
dumb,1,3.06
aging,5,3.06
arguing,3,3.06
difficulties,4,3.08
decline,6,3.08
deficit,1,3.08
decay,6,3.08
execution,26,3.1
defects,2,3.1
unable,3,3.1
conflict,16,3.1
regret,8,3.12
argument,6,3.14
isolation,8,3.14
avoid,3,3.14
disorder,15,3.14
dismissed,2,3.14
lack,33,3.16
forced,4,3.16
doubt,1,3.16
severe,21,3.16
declined,1,3.16
disorders,8,3.16
garbage,1,3.18
difficult,31,3.18
false,8,3.18
inferior,5,3.2
defeat,1,3.2
drug,6,3.2
defect,2,3.21
captured,13,3.22
forget,1,3.22
freezing,1,3.22
critical,86,3.22
wasting,1,3.22
fell,1,3.22
ignore,3,3.22
delayed,8,3.24
lazy,2,3.28
nuclear,6,3.28
conspiracy,1,3.28
falling,1,3.28
rats,1,3.29
lowest,6,3.3
confusion,4,3.32
opposed,2,3.32
alone,32,3.32
cannot,21,3.32
restrictions,3,3.32
expenses,1,3.32
ignored,1,3.32
traffic,16,3.34
warning,4,3.34
never,15,3.34
complicated,3,3.34
vulnerable,7,3.34
injection,5,3.35
syndrome,1,3.36
argued,2,3.36
critic,2,3.36
weapon,1,3.36
hunger,1,3.37
eliminated,2,3.38
difficulty,25,3.38
delay,2,3.38
deception,4,3.39
separated,4,3.4
against,49,3.4
struggle,33,3.4
cut,1,3.42
can't,1,3.42
obsessed,1,3.42
erroneous,3,3.42
fault,3,3.44
trap,1,3.44
confined,2,3.44
delays,7,3.44
zero,16,3.44
radiation,1,3.45
refuse,1,3.46
misunderstood,1,3.46
chaos,8,3.46
isolated,13,3.46
urine,3,3.47
unlikely,2,3.48
opposition,1,3.48
no,52,3.48
opponents,2,3.48
pressures,1,3.49
hospital,3,3.5
apart,1,3.52
fallen,1,3.52
separation,16,3.53
shock,1,3.54
without,118,3.54
expensive,18,3.54
taxation,1,3.55
runaway,3,3.56
confusing,1,3.56
empty,1,3.56
restricted,11,3.57
leaving,17,3.58
absence,10,3.58
gossip,1,3.58
falls,6,3.6
mistaken,1,3.6
risk,57,3.62
limitations,60,3.62
doesn't,1,3.62
incompletely,1,3.62
nobody,1,3.64
uncertainty,49,3.64
miss,4,3.64
disappear,1,3.65
down,6,3.66
patients,21,3.66
closed,6,3.66
outdated,3,3.66
low,31,3.66
pressure,9,3.66
missed,3,3.68
waiting,6,3.68
disagree,2,3.68
mean,42,3.68
remove,6,3.7
don't,1,3.7
demanding,6,3.7
lacking,7,3.71
crowded,2,3.71
gross,1,3.72
fewer,13,3.72
removed,4,3.72
operation,7,3.72
noise,52,3.74
wait,1,3.74
last,6,3.74
symptoms,3,3.76
void,1,3.76
battles,1,3.78
court,1,3.78
unnecessary,3,3.78
bugs,1,3.78
risks,20,3.78
exams,1,3.78
slow,16,3.78
chronic,3,3.79
costs,26,3.8
fire,3,3.8
aggressive,1,3.8
eliminate,3,3.82
blood,4,3.82
hardest,1,3.82
erased,2,3.82
forgetting,8,3.82
dark,7,3.82
fragile,10,3.83
offline,16,3.84
none,5,3.84
armed,1,3.84
not,242,3.86
